Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Planigale gilesi,Dasyuromorphia,Planigale gilesi,Planigale_gilesi,Mammal,9.4,35.25,28,33,12.92777778,NA,0.072222222,KhaliqHof,Omnivore,1,1,0,0,1.9,4.3,3.31,3.6,0.696466805,0.7413,38.9,37.6,38.7,38.6,1.596960989,NA,-24.32810435,-35.01776631,NA,175,137.22,-28.22,NA,trapped,NA,
Planigale maculata,Dasyuromorphia,Planigale maculata,Planigale_maculata,Mammal,13.1,34.2,31,35,13.2,4.13,0.067,KhaliqHof,Omnivore,1,NA,1,0,2.8,11,3.2,3.7,3.928061237,3.55824,39.3,36.1,38.585,38.2,3.116958162,NA,-11.1158247,-33.11311287,NA,324,131.03,-12.28,rest,trapped,notpostabsorptive,
Planigale tenuirostris,Dasyuromorphia,Planigale tenuirostris,Planigale_tenuirostris,Mammal,7,34.5,33,NA,11.43611111,NA,0.063888889,Riek,Omnivore,1,1,0,0,1.8,3.7,2.34,2.7,0.961095933,0.88956,38.8,37.5,38.7,38.6,1.890015358,NA,-20.43652835,-35.41024806,NA,189,141,-31,rest,trapped,NA,
Platyrrhinus lineatus,Chiroptera,Platyrrhinus lineatus,Platyrrhinus_lineatus,Mammal,22,36.4,28,NA,44.75,NA,0.25,Riek,FruiNect,1,NA,0,0,-13.5,9.6,-9.215,-7.63,9.273709531,7.26474,35.6,33.2,35.2,35,5.428512162,NA,12.46333559,-33.14486441,NA,538,NA,NA,NA,NA,NA,
Potorous tridactylus,Diprotodontia,Potorous tridactylus,Potorous_tridactylus,Mammal,1120,36.05,20,30,503.1888889,NA,2.811111111,KhaliqHof,PlantSeed,1,0,0,1,-1.3,4.6,1.65,2.65,2.344398483,1.4826,30.7,24.25,29.6,28.85,2.664433297,NA,-24.31461621,-42.91337627,NA,136,147.19,-42.541,NA,trapped,postabsorptive,
Potos flavus,Carnivora,Potos flavus,Potos_flavus,Mammal,2400,36.25,23,30,757.2694444,NA,4.230555556,KhaliqHof,FruiNect,1,0,0,0,-13.9,16.1,3.26,8.9,6.531864941,4.29954,40.6,32.5,35,34.4,1.746274017,NA,23.7226737,-23.10621643,NA,813,-74.17,6.58,NA,trapped,NA,
Priodontes maximus,Rodentia,Priodontes maximus,Priodontes_maximus,Mammal,45190,33.6,27,34,3027.7,458.74,16.88888889,KhaliqHof,Invertebrate,1,0,0,0,6.6,12.6,7.5,8.4,2.928014596,3.40998,36.1,31.1,35.6,34.7,2.604494407,NA,11.36560603,-27.56903812,NA,463,-58.55,4.51,rest,trapped,notpostabsorptive,
Procavia capensis,Hyracoidae,Procavia capensis,Procavia_capensis,Mammal,2400,37.15,27,35,646.8861111,NA,3.613888889,KhaliqHof,PlantSeed,0,0,0,1,-2,9.8,3,3.5,4.088108607,5.48562,45.5,40.3,43.395,42.8,3.692538534,NA,34.56193559,-34.83976441,NA,902,37.54,0.22,rest,trapped,postabsorptive,
Procyon cancrivorus,Carnivora,Procyon cancrivorus,Procyon_cancrivorus,Mammal,1160,37.6,26,NA,463.4111111,NA,2.588888889,Riek,Invertebrate,1,0,0,0,-2,14.4,3.7,5.14,5.808812968,7.26474,35.4,32.3,34.6,34.1,1.706862187,NA,12.46330833,-34.80379843,NA,585,-79,-9,rest,trapped,NA,
Procyon lotor,Carnivora,Procyon lotor,Procyon_lotor,Mammal,4400,38,20,NA,2181.313889,NA,12.18611111,Riek,Omnivore,1,0,0,0,-30.8,-24.8,-30.3,-30,6.944614983,7.413,38.9,32.55,37,35.9,5.702793453,NA,58.78243559,7.197935593,NA,802,-78,38,rest,trapped,NA,
Pseudomys hermannsburgensis,Rodentia,Pseudomys hermannsburgensis,Pseudomys_hermannsburgensis,Mammal,12.2,37.5,31,36,23.3,3.58,0.130555556,KhaliqHof,PlantSeed,1,0,0,0,2.2,4.9,4.3,4.4,1.218220415,0.44478,39.9,37.9,39.3,39,1.215994659,NA,-18.44378662,-32.43658447,NA,413,133.88,-23.7,rest,trapped,postabsorptive,
Pteropus poliocephalus,Chiroptera,Pteropus poliocephalus,Pteropus_poliocephalus,Mammal,825,36.65,15,35,316.2333333,NA,1.766666667,KhaliqHof,FruiNect,1,0,0,1,-1.2,3.4,-0.62,0.1,3.968439522,2.81694,33.1,25.6,32.5,30.98,2.92247164,NA,-23.97786441,-39.13896441,NA,137,153.023,-27.471,NA,trapped,NA,
Pteropus scapulatus,Chiroptera,Pteropus scapulatus,Pteropus_scapulatus,Mammal,440,37.15,24,35,242.1472222,NA,1.352777778,KhaliqHof,FruiNect,1,0,1,0,-2.8,9.6,-0.3,2.5,3.685779881,2.52042,41,38.1,40.48,39.8,6.196856522,NA,-9.092264407,-37.22606468,NA,485,153.4,-28.316,NA,trapped,NA,
Rangifer tarandus,Cetartiodactyla,Rangifer tarandus,Rangifer_tarandus,Mammal,64500,38,5,NA,23863.68333,NA,133.3166667,Riek,PlantSeed,0,0,1,0,-45.8,-34.9,-42.5,-41.8,8.376712803,5.78214,30.5,21.3,24.8,24.2,4.642844414,NA,83.11063559,45.55333559,NA,3331,NA,NA,NA,NA,NA,
Raphicerus campestris,Artiodactyla,Raphicerus campestris,Raphicerus_campestris,Mammal,8500,39,30,NA,3696,410.67,18.25277778,KhaliqHof,PlantSeed,0,0,0,1,-4.1,8.5,-0.7,0.54,4.896512934,3.85476,36.7,31.4,34.5,33.7,2.178014256,NA,0.841435593,-34.83976441,NA,343,28.132,-25.432,NA,captive,NA,
Rattus fuscipes,Rodentia,Rattus fuscipes,Rattus_fuscipes,Mammal,76,37.4,28.1,32.9,141.7,15.24,0.469444444,KhaliqHof,Omnivore,1,0,0,1,2.9,6.9,4.1,4.6,1.418804468,1.33434,35.3,29.7,31.85,31.3,2.653518076,NA,-15.68828318,-39.1389389,NA,311,115.02,-30.17,rest,trapped,postabsorptive,
Rattus norvegicus,Rodentia,Rattus norvegicus,Rattus_norvegicus,Mammal,275,37,24,NA,251.316,NA,1.404,Riek,Omnivore,1,NA,0,0,-46.7,-27.1,-40.1,-38.2,12.81591823,13.19514,41.6,29.6,35.2,32.8,8.119577633,NA,72.82066455,-11.00485134,NA,2541,NA,NA,NA,captive,NA,
Rattus rattus,Rodentia,Rattus rattus,Rattus_rattus,Mammal,225,38.15,26.25,33,167.5638889,NA,0.936111111,Bozinovic,Omnivore,1,0,0,1,-40.5,-6.3,-29.7,-25.58,12.61637559,11.1195,42.9,32,41.1,37.88,4.959748568,NA,61.72042101,-34.8398287,NA,2113,NA,NA,NA,NA,NA,
Rattus villosissimus,Rodentia,Rattus villosissimus,Rattus_villosissimus,Mammal,250.6,38.9,30,35,220.5,24.78,0.811111111,KhaliqHof,Omnivore,1,0,0,0,2.1,5.5,3.3,4.1,3.622002964,1.33434,39.1,36.3,38.865,38.6,1.349080179,NA,-14.05438232,-31.22241211,NA,268,131.54,-22.59,rest,trapped,postabsorptive,
Reithrodontomys megalotis,Rodentia,Reithrodontomys megalotis,Reithrodontomys_megalotis,Mammal,7.6,36.95,32,35,19.88888889,NA,0.111111111,KhaliqHof,PlantSeed,1,1,0,0,-21.8,-18,-21,-20.6,5.834037571,2.81694,40.1,32.7,38,36.7,4.547709879,NA,50.61007376,15.95104427,NA,451,-122.1,37.8,rest,trapped,postabsorptive,
Rhinophylla pumilio,Chiroptera,Rhinophylla pumilio,Rhinophylla_pumilio,Mammal,9.5,36,30,35,18.6,3.1,NA,KhaliqHof,FruiNect,1,NA,0,0,-13.1,14.5,-6.4,-2.58,8.080263783,4.00302,35.8,32.5,35.1,34.8,2.538191474,NA,10.24533559,-19.68836441,NA,533,-59.54,-3.08,NA,trapped,notpostabsorptive,
Rousettus amplexicaudatus,Chiroptera,Rousettus amplexicaudatus,Rousettus_amplexicaudatus,Mammal,91.5,36.5,26,NA,104.4166667,NA,0.583333333,Riek,FruiNect,1,0,0,1,-0.8,21.8,6.8,8.1,5.526360735,1.33434,33.5,31.4,32.5,32.3,1.05507299,NA,24.96783559,-10.94086441,NA,779,145,-5,rest,trapped,NA,
Saccopteryx bilineata,Chiroptera,Saccopteryx bilineata,Saccopteryx_bilineata,Mammal,8.2,35.5,30,35,15.3,2.78,0.080555556,KhaliqHof,Invertebrate,1,0,0,0,-2.5,16.55,6.5,9.59,4.548234339,3.63237,36.3,32.4,35,34.5,1.775453019,NA,23.55133559,-23.10626441,NA,850,-85.05,10.25,rest,trapped,postabsorptive,
Saccostomus campestris,Rodentia,Saccostomus campestris,Saccostomus_campestris,Mammal,61.3,35.4,28,32,81.7,11.04,0.286111111,KhaliqHof,PlantSeed,1,1,0,1,-0.1,9.3,1.59,2.79,4.890965086,4.96671,34.4,31.35,33.5,33,1.457119757,NA,-6.714164407,-34.47466441,NA,340,27.39,-25.33,rest,trapped,NA,
Saimiri sciureus,Primates,Saimiri sciureus,Saimiri_sciureus,Mammal,850,38.15,25,35,594.1805556,NA,3.319444444,KhaliqHof,Omnivore,0,0,0,0,-1.6,18.7,13.1,13.7,3.763483404,2.9652,35.8,32.4,35.1,34.7,2.656406824,NA,8.388335592,-15.04706441,NA,413,NA,NA,active,captive,notpostabsorptive,
Scalopus aquaticus,Soricomorpha,Scalopus aquaticus,Scalopus_aquaticus,Mammal,48,36,26,33,67.7,6.77,0.377777778,KhaliqHof,Invertebrate,1,0,0,0,-21.2,-12.4,-19.6,-18.16,3.59631088,3.7065,38.2,32.4,36,34.9,2.537097168,NA,46.26933559,24.74423559,NA,425,-82.196,29.399,rest,trapped,NA,
Sminthopsis crassicaudata,Dasyuromorphia,Sminthopsis crassicaudata,Sminthopsis_crassicaudata,Mammal,19,35.35,31,38,21.87777778,NA,0.122222222,KhaliqHof,Invertebrate,1,1,0,1,0.3,6.1,1.655,2.7,2.031479301,1.18608,40.6,38,39.745,38.7,1.77838006,NA,-20.5442489,-38.85948181,NA,452,139.6,-34,rest,trapped,postabsorptive,
Sminthopsis macroura,Dasyuromorphia,Sminthopsis macroura,Sminthopsis_macroura,Mammal,24.8,33.45,31.3,34,23.36944444,NA,0.130555556,KhaliqHof,Invertebrate,1,1,0,0,2.3,4.8,2.7,3.68,1.340681996,0.59304,39,36.9,38.5,38.2,1.75328373,NA,-15.57426419,-34.24506003,NA,449,NA,NA,rest,captive,NA,
Sorex araneus,Soricomorpha,Sorex araneus,Sorex_araneus,Mammal,7.5,38,35,NA,46.73888889,NA,0.261111111,Riek,Invertebrate,1,0,0,0,-42.3,-22.2,-40.075,-37.5,12.82429769,14.97426,31.9,25.9,30,29.65,4.498894851,NA,71.13301849,40.67635621,NA,1446,23.8,52.7,NA,NA,postabsorptive,
Sorex cinereus,Soricomorpha,Sorex cinereus,Sorex_cinereus,Mammal,3.5,38.55,25,30,26.35277778,NA,0.147222222,KhaliqHof,Invertebrate,1,0,0,0,-38.9,-31.8,-36.8,-35.9,5.490369435,4.15128,35.1,22.2,32.38,31.4,6.991042763,NA,71.39063559,34.59663559,NA,1385,-89.24,43.4,active,trapped,notpostabsorptive,
Sorex coronatus,Soricomorpha,Sorex coronatus,Sorex_coronatus,Mammal,9.4,37.6,27,NA,51.71111111,NA,0.288888889,Riek,Invertebrate,1,0,0,0,-10.2,-1.8,-8.125,-7.1,3.285332451,3.11346,30,25.4,28.9,28.55,4.395397391,NA,53.81046263,40.66541021,NA,256,NA,NA,NA,NA,NA,
Sorex minutus,Soricomorpha,Sorex minutus,Sorex_minutus,Mammal,4.45,38.65,24,30,28.34166667,NA,0.158333333,KhaliqHof,Invertebrate,1,0,0,0,-40.2,-21.7,-34.555,-34,12.27753121,14.52948,40.9,28.3,32.255,31.3,5.655470195,NA,71.13301849,26.44162018,NA,1510,6.15,53.28,active,trapped,postabsorptive,
Sorex vagrans,Soricomorpha,Sorex vagrans,Sorex_vagrans,Mammal,5.2,38,32,NA,19.88888889,NA,0.111111111,Riek,Invertebrate,1,0,0,0,-19.9,-11.45,-19.255,-18.41,7.239334421,9.6369,35.5,26.7,33.6,33,6.062580171,NA,51.63043559,36.61183559,NA,210,-112,46,rest,NA,notpostabsorptive,
Spalacopus cyanus,Rodentia,Spalacopus cyanus,Spalacopus_cyanus,Mammal,185,36,26.5,34,112.1,11.8,0.569444444,KhaliqHof,PlantSeed,0,0,0,0,-10.6,3.6,-7.775,-3.67,4.024507144,1.18608,30,27.7,29.9,29.9,3.932461231,NA,-26.92913818,-36.39185333,NA,34,-71.31,-32.56,NA,trapped,postabsorptive,
Spalax leucodon,Rodentia,Spalax leucodon,Spalax_leucodon,Mammal,207.7,37,25,34,159.9,13.33,0.830555556,KhaliqHof,PlantSeed,0,0,0,0,-10.3,-5.6,-9.2,-8.77,1.916214764,1.92738,33.4,27.8,31.9,31.07,3.326700393,NA,49.2705354,37.28805542,NA,164,33.46,41.23,rest,trapped,NA,
Spermophilus beecheyi,Rodentia,Spermophilus beecheyi,Spermophilus_beecheyi,Mammal,599.6,37.6,25,30,317.8,25.22,1.772222222,KhaliqHof,Omnivore,0,1,0,0,-11.8,-1.1,-7.97,-7.5,4.659317557,6.52344,44.3,30.4,40.17,38.08,6.610718743,NA,46.92555298,28.55089652,NA,127,-117.47,33.412,rest,trapped,postabsorptive,
Spilogale putorius,Carnivora,Spilogale putorius,Spilogale_putorius,Mammal,624,36.5,30,36,312,48,1.636111111,KhaliqHof,Omnivore,1,0,0,0,-24.3,-14.8,-23.54,-23,6.704445999,10.3782,37.8,32.6,36.14,35.18,2.117795425,NA,49.34874181,24.1839198,NA,353,-81.04,26.28,rest,captive,postabsorptive,
Steatomys pratensis,Rodentia,Steatomys pratensis,Steatomys_pratensis,Mammal,37.5,34.25,28,32,36.29722222,NA,0.202777778,KhaliqHof,Omnivore,1,1,0,0,-1.5,6.4,-0.845,0.21,6.347184522,7.33887,38.9,33.3,36.4,35.9,2.634249853,NA,6.751135592,-28.81136441,NA,332,29.5,-28.55,NA,captive,notpostabsorptive,
Sturnira erythromos,Chiroptera,Sturnira erythromos,Sturnira_erythromos,Mammal,15.9,34.4,25.5,32.5,39.9,4.48,0.222222222,KhaliqHof,FruiNect,1,0,0,0,-13.4,5.6,-10,-7.6,8.630005979,10.67472,35.4,31.8,34.7,34.3,3.050024669,NA,12.46333559,-28.14646441,NA,231,-71.9,8.36,NA,trapped,postabsorptive,
Sturnira lilium,Chiroptera,Sturnira lilium,Sturnira_lilium,Mammal,21.9,36.6,30,35.5,53.2,8.06,0.219444444,KhaliqHof,FruiNect,1,0,0,0,-12.8,14.6,-1.475,5.4,7.33844069,7.26474,39.9,32.3,35.1,34.7,2.310923425,NA,29.98403559,-34.02796441,NA,910,-56.475,-20.052,NA,trapped,notpostabsorptive,
Suncus murinus,Soricomorpha,Suncus murinus,Suncus_murinus,Mammal,52,38.7,27,NA,88.00833333,NA,0.491666667,Riek,Invertebrate,1,1,0,1,-23.2,2.4,-14.585,-9.3,10.19986553,7.70952,42.2,32,36.485,35,2.397546739,NA,35.47013559,-25.60896441,NA,964,145.7,15.19,NA,captive,NA,
Suricata suricatta,Carnivora,Suricata suricatta,Suricata_suricatta,Mammal,850,36.3,30,33,310.3,49.25,1.755555556,KhaliqHof,Invertebrate,0,0,0,1,-5.6,5.9,-0.375,0.4,4.005644788,5.04084,34.5,32.1,34.4,34.3,2.602909045,NA,-15.77366441,-33.99136441,NA,226,24.3,-33.47,NA,captive,notpostabsorptive,
Sus scrofa,Artiodactyla,Sus scrofa,Sus_scrofa,Mammal,48000,39.15,4,22,18642.85,NA,104.15,KhaliqHof,PlantSeed,1,NA,0,0,-42.1,-21.1,-38.6,-37.2,12.92409541,14.67774,44.3,32.4,42.92,39.4,4.217377367,NA,61.52027212,-8.849499702,NA,1817,NA,NA,NA,NA,NA,
Sylvilagus audubonii,Lagomorpha,Sylvilagus audubonii,Sylvilagus_audubonii,Mammal,672.4,38.25,28,40,456.4,44.53,2.506,KhaliqHof,PlantSeed,1,NA,0,0,-18.4,-11.6,-17.9,-17.7,6.663702119,6.81996,37.2,29.4,36.2,35.57,4.176973024,NA,48.42953559,18.80393559,NA,314,-110.55,32.137,NA,trapped,postabsorptive,
Tachyoryctes splendens,Rodentia,Tachyoryctes splendens,Tachyoryctes_splendens,Mammal,191,36.2,27,35,163.5,17.77,0.841666667,KhaliqHof,PlantSeed,1,0,0,0,3.8,12.35,6.965,7.7,2.958095314,3.48411,40.2,29.35,38.335,37.2,4.874822025,NA,14.59273559,-4.551664408,NA,174,36.492,-1.77,rest,trapped,NA,
Tadarida brasiliensis,Chiroptera,Tadarida brasiliensis,Tadarida_brasiliensis,Mammal,16.9,36.15,26.3,32.7,20.943,NA,0.117,KhaliqHof,Invertebrate,1,NA,0,0,-17.4,0.4,-14.6,-12.4,12.85079836,18.08772,35.7,31.6,34.3,33.7,3.042240686,NA,44.20013559,-41.72876441,NA,1042,-71.9,8.36,NA,trapped,postabsorptive,
Tamandua tetradactyla,Pilosa,Tamandua tetradactyla,Tamandua_tetradactyla,Mammal,3500,33.65,23,35,873.6194444,NA,4.880555556,KhaliqHof,Invertebrate,1,0,0,0,1.8,12.4,4.9,5.9,4.842530242,5.9304,35.1,32.2,34,33.6,2.20267186,NA,11.53521442,-33.54935298,NA,521,-58.444,-23.442,rest,captive,postabsorptive,
Tamias merriami,Rodentia,Tamias merriami,Tamias_merriami,Mammal,75,37,29,35,91.2,11.4,0.438888889,KhaliqHof,FruiNect,0,1,0,0,-12.2,-0.5,-10.74,-10.24,5.280042125,5.04084,39.9,28.2,36.82,36.5,7.248967447,NA,38.68775346,32.4214458,NA,77,-120.09,35.55,rest,trapped,NA,
Tamias minimus,Rodentia,Tamias minimus,Tamias_minimus,Mammal,50.6,37.15,26,34,76.57222222,NA,0.427777778,KhaliqHof,FruiNect,0,1,0,0,-35.5,-31.9,-33.87,-33.4,1.968190614,1.03782,41.7,26.8,35.4,33.5,6.282221281,NA,66.37793559,34.57863559,NA,727,-106.92,38.54,rest,trapped,postabsorptive,
Tamias striatus,Rodentia,Tamias striatus,Tamias_striatus,Mammal,92.2,38.35,28.5,32,89.99722222,NA,0.502777778,KhaliqHof,Omnivore,0,1,0,0,-27.7,-25.7,-27.4,-27.2,4.331565074,1.92738,34.5,31.3,34.04,33.68,4.288047687,NA,51.67013559,29.90163559,NA,513,-76.496,42.448,rest,trapped,postabsorptive,
Tamiasciurus hudsonicus,Rodentia,Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,Mammal,231,38.85,15,27,243.6388889,NA,1.361111111,KhaliqHof,Omnivore,0,0,0,0,-36.7,-31.8,-36.2,-36.1,4.575108774,4.15128,39.8,22.1,33.355,31.71,7.169758291,NA,67.78193559,32.30183559,NA,1350,-98.31,50.29,active,trapped,NA,
Tarsipes rostratus,Diprotodontia,Tarsipes rostratus,Tarsipes_rostratus,Mammal,10,36.6,28,34,29,3.37,0.161111111,KhaliqHof,FruiNect,1,1,0,1,4.5,5.5,4.7,4.9,0.978144389,0.59304,36.2,30.7,35.4,34.8,2.532615153,NA,-27.21318582,-35.13606124,NA,151,119.3,-33.56,NA,trapped,postabsorptive,
Taxidea taxus,Carnivora,Taxidea taxus,Taxidea_taxus,Mammal,9000,38,10,NA,2695.938889,NA,15.06111111,Riek,VertFishScav,1,0,0,0,-30.7,-26.8,-29.4,-29.1,6.914861713,2.2239,40.4,29.4,36.925,35.35,4.989161441,NA,60.00648478,16.89628824,NA,636,NA,NA,NA,captive,NA,
Thallomys paedulcus,Rodentia,Thallomys paedulcus,Thallomys_paedulcus,Mammal,124.7,36.85,27.46,35.89,68.61666667,NA,0.383333333,KhaliqHof,PlantSeed,0,0,0,0,-1.1,8.3,0.08,0.8,7.072664959,9.04386,41.4,31.5,39.04,36.9,3.273853122,NA,5.832435592,-29.09836441,NA,397,20.58,-25.1,rest,trapped,NA,
Thomomys bottae,Rodentia,Thomomys bottae,Thomomys_bottae,Mammal,143,36,28,30,120.1,15.01,0.669444444,KhaliqHof,PlantSeed,1,0,0,0,-21.7,-9.2,-17.1,-13.8,5.095628871,4.00302,41.3,32.8,36.9,36.2,4.881892756,NA,42.95946061,22.86713219,NA,287,-117.59,33.59,rest,trapped,postabsorptive,
Thomomys talpoides,Rodentia,Thomomys talpoides,Thomomys_talpoides,Mammal,106,35.5,26,32,141,14.84,0.608333333,KhaliqHof,PlantSeed,1,0,0,0,-27,-24.6,-26.4,-26,7.549612903,1.77912,36.5,30.3,33.2,32.6,3.255795904,NA,55.59083559,33.59963559,NA,321,-119.34,37.44,NA,trapped,NA,
Thrichomys apereoides,Rodentia,Thrichomys apereoides,Thrichomys_apereoides,Mammal,323,37.6,25,35,206.7,16.4,1.153,KhaliqHof,FruiNect,1,NA,0,0,8,13.1,8.82,9.38,3.205494867,4.00302,35.9,33,35.2,35.1,2.078020513,NA,-2.786388397,-21.62549727,NA,165,-40.09,-6,rest,captive,postabsorptive,
Tolypeutes matacus,Cingulata,Tolypeutes matacus,Tolypeutes_matacus,Mammal,1160,33,28,36,210,42,1.172222222,KhaliqHof,Invertebrate,1,0,0,0,0.1,6.7,0.275,1.1,4.847011776,6.96822,35.2,33.6,35.025,34.65,0.949632074,NA,-15.80430293,-33.813019,NA,156,NA,NA,rest,trapped,notpostabsorptive,
Tonatia bidens,Chiroptera,Tonatia bidens,Tonatia_bidens,Mammal,27.4,37,28,35,55.1,6.12,0.219444444,KhaliqHof,Invertebrate,1,0,0,0,-13.3,12.3,1.13,4.56,6.483167215,4.74432,35.4,32.6,34.4,34.3,1.578486441,NA,-5.044264407,-27.12396441,NA,407,-44.54,-21,NA,trapped,notpostabsorptive,
Tupaia belangeri,Scandentia,Tupaia belangeri,Tupaia_belangeri,Mammal,186,39.4,27.5,35,139.2,14.81,0.705555556,KhaliqHof,Invertebrate,0,0,0,1,-20.5,-9.45,-18.3,-17.77,8.516161795,12.30558,37.5,32.6,35.635,34.57,1.769905449,NA,30.3189373,8.559637069,NA,294,102.13,26.22,NA,trapped,NA,
Tympanoctomys barrerae,Rodentia,Tympanoctomys barrerae,Tympanoctomys_barrerae,Mammal,71.4,35.7,24.8,NA,77.06944444,NA,0.430555556,Riek,PlantSeed,1,0,0,0,-3.4,-0.05,-2.995,-2.89,1.675207553,1.85325,33.7,32.45,33.7,33.7,2.394695617,NA,-31.15407509,-38.35212277,NA,22,-60.21,-33.2,NA,trapped,NA,
Uroderma bilobatum,Chiroptera,Uroderma bilobatum,Uroderma_bilobatum,Mammal,16.2,36.3,30,35,31.6,5.02,0.147222222,KhaliqHof,FruiNect,1,0,0,0,-13.3,14.6,-8.1,-6.4,9.406577441,6.6717,35.9,32.4,35,34.4,1.577952252,NA,19.07863559,-25.48506441,NA,727,-59.54,-3.08,rest,trapped,notpostabsorptive,
Ursus americanus,Carnivora,Ursus americanus,Ursus_americanus,Mammal,165000,37.5,-30,NA,15256.76667,NA,85.23333333,Riek,FruiNect,1,1,0,0,-38.5,-32.1,-36.1,-35.5,5.780582792,4.4478,41.8,23.65,34.6,33.29,7.333162869,NA,68.40353559,22.94303559,NA,1332,NA,NA,NA,captive,NA,
Vulpes macrotis,Carnivora,Vulpes macrotis,Vulpes_macrotis,Mammal,1868,38,22,33,1143.2,71.45,5.230555556,KhaliqHof,VertFishScav,1,0,0,0,-14.2,-7.9,-11.8,-10.94,5.209306039,3.26172,40.6,31.6,38.5,36.64,3.838161957,NA,43.39726092,22.41580199,NA,277,-112.04,33.268,rest,trapped,postabsorptive,
Vulpes vulpes,Carnivora,Vulpes vulpes,Vulpes_vulpes,Mammal,5010,38.85,-10,30,1500.119444,NA,8.380555556,KhaliqHof,VertFishScav,1,0,0,0,-44.8,-32.3,-41.755,-39,11.83906746,7.70952,45.6,30.3,41.3,38.7,9.348544769,NA,74.04971314,12.59130573,NA,3810,-151.46,69.1,rest,trapped,notpostabsorptive,
Vulpes zerda,Carnivora,Vulpes zerda,Vulpes_zerda,Mammal,1106,32,23.4,32,23.5,2.73,2.222222222,KhaliqHof,Omnivore,1,0,0,0,-0.7,5.7,1.3,1.9,3.367309477,1.77912,42.2,40.9,42,41.8,1.6904257,NA,34.02028955,13.73980651,NA,636,8.18,33.418,rest,trapped,postabsorptive,
Zaedyus pichiy,Cingulata,Zaedyus pichiy,Zaedyus_pichiy,Mammal,1740,35.2,28,35,393.2,54.61,2.233333333,KhaliqHof,Invertebrate,1,1,0,1,-9.5,1.5,-8.495,-6.55,3.740908,2.37216,34.4,30.25,33.995,33.49,6.523636592,NA,-29.3,-53.05164506,NA,142,-63.373,-40.433,rest,captive,postabsorptive,
Zapus hudsonius,Rodentia,Zapus hudsonius,Zapus_hudsonius,Mammal,19,37.3,32,NA,39.201,NA,0.219,Riek,PlantSeed,1,NA,0,0,-34.9,-30.25,-33.4,-33,5.215656556,3.48411,37.1,21.5,34,33,7.392990801,NA,65.02593559,31.67323559,NA,1292,-89,46,NA,trapped,NA,
Carduelis tristis,Passeriformes,Carduelis tristis,Carduelis_tristis,Bird,14.5,39.6,19.5,NA,67.4,2.32,0.302777778,Canterbury,PlantSeed,0,0,0,0,-28.2,-25.9,-27.5,-27.2,6.443753364,1.63086,39.7,31.5,37.1,36.09,5.942725922,6.22692,57.36407471,18.5927124,Carduelis_tristis_22720407,842,-85,44,rest,NA,NA,
Mniotilta varia,Passeriformes,Mniotilta varia,Mniotilta_varia,Bird,8.2,39,29.6,NA,22.6,0.97,0.12727,Canterbury,Invertebrate,0,NA,0,0,-33,-28.4,-32.3,-32,7.191924024,3.85476,37.8,32.9,36.2,35.6,6.475600392,3.40998,65.03729248,-7.664611817,Mniotilta_varia_22721758,885,-81.6,28.1,rest,NA,NA,
Spizella passerina,Passeriformes,Spizella passerina,Spizella_passerina,Bird,11.9,40.8,25.9,NA,34.5,1.67,0.194444444,Canterbury,PlantSeed,0,0,0,0,-35.4,-31.9,-34.5,-34.3,4.538706036,3.26172,37.9,26.6,35.5,34.14,7.336019747,9.6369,66.23931885,9.859680176,Spizella_passerina_22721162,1097,-81.6,28.1,rest,NA,NA,
Geothlypis trichas,Passeriformes,Geothlypis trichas,Geothlypis_trichas,Bird,10.6,41,32,NA,30.9,0.93,0.17622,Canterbury,Invertebrate,0,NA,0,0,-34.1,-29.1,-33,-32.1,4.715821588,1.4826,37.8,31.6,36.1,35.4,7.526803447,5.9304,65.84112549,3.903686524,Geothlypis_trichas_22721836,1045,-81.6,28.1,rest,NA,NA,
Sayornis phoebe,Passeriformes,Sayornis phoebe,Sayornis_phoebe,Bird,21.6,41.2,26.2,NA,61.6,2.57,0.344444444,Canterbury,Invertebrate,0,0,0,0,-34.8,-29.1,-34.4,-34.26,7.516035888,7.413,40.1,26.5,35.1,33.2,5.97826199,7.85778,65.21490479,17.55212402,Sayornis_phoebe_22699886,805,-81.6,28.1,rest,NA,NA,
Passerella iliaca,Passeriformes,Passerella iliaca,Passerella_iliaca,Bird,30.7,41.3,19,NA,66.9,2.11,NA,Canterbury,Omnivore,0,NA,0,0,-39,-31.6,-36.5,-36,5.423450677,4.29954,41.7,22.4,37.7,35.86,8.564590022,10.82298,70.63909912,25.60968018,Passerella_iliaca_22721052,1385,-81.6,28.1,rest,NA,NA,
